Year,Series,REF_AREA,SEX,AGE,Units,Value
2000,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.2
2001,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.19
2002,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.18
2003,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.17
2004,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.16
2005,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.15
2006,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.13
2007,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.11
2008,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.1
2009,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.09
2010,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.08
2011,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.07
2012,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.06
2013,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.05
2014,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.05
2015,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.04
2016,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.04
2017,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.03
2018,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.03
2019,SH_HIV_INCD,,,,PER_1000_UNINFECTED_POP,0.03
2000,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.08
2001,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.07
2002,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.07
2003,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.07
2004,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.06
2005,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.06
2006,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.05
2007,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.04
2008,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.04
2009,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.03
2010,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.03
2011,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.02
2012,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.02
2013,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.02
2014,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.02
2015,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.02
2016,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.01
2017,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.01
2018,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.01
2019,SH_HIV_INCD,,,Y_GE50,PER_1000_UNINFECTED_POP,0.01
2000,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.03
2001,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.03
2002,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.03
2003,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.03
2004,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.03
2005,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.03
2006,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.03
2007,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.03
2008,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.02
2009,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.02
2010,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.02
2011,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.02
2012,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.01
2013,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.01
2014,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.01
2015,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.01
2016,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.01
2017,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.01
2018,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.01
2019,SH_HIV_INCD,,,Y0T14,PER_1000_UNINFECTED_POP,0.01
2000,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.15
2001,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.14
2002,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.13
2003,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.13
2004,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.12
2005,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.11
2006,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.09
2007,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.08
2008,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.07
2009,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.06
2010,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.06
2011,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.05
2012,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.04
2013,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.04
2014,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.04
2015,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.03
2016,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.03
2017,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.03
2018,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.02
2019,SH_HIV_INCD,,,Y15T24,PER_1000_UNINFECTED_POP,0.02
2000,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.37
2001,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.35
2002,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.34
2003,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.32
2004,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.3
2005,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.28
2006,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.24
2007,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.2
2008,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.18
2009,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.16
2010,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.14
2011,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.12
2012,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.1
2013,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.09
2014,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.08
2015,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.07
2016,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.06
2017,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.06
2018,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.05
2019,SH_HIV_INCD,,,Y15T49,PER_1000_UNINFECTED_POP,0.05
2000,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.12
2001,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.12
2002,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.11
2003,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.11
2004,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.1
2005,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.1
2006,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.08
2007,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.07
2008,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.06
2009,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.06
2010,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.05
2011,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.04
2012,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.04
2013,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.03
2014,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.03
2015,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.03
2016,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.03
2017,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.02
2018,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.02
2019,SH_HIV_INCD,,F,,PER_1000_UNINFECTED_POP,0.02
2000,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.04
