Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2000,SH_PRV_SMOK,,None,Y_GE15,None,None,None,None,None,None,None,None,None,PT,64.2
2005,SH_PRV_SMOK,,None,Y_GE15,None,None,None,None,None,None,None,None,None,PT,53.4
2010,SH_PRV_SMOK,,None,Y_GE15,None,None,None,None,None,None,None,None,None,PT,43.4
2015,SH_PRV_SMOK,,None,Y_GE15,None,None,None,None,None,None,None,None,None,PT,35.7
2016,SH_PRV_SMOK,,None,Y_GE15,None,None,None,None,None,None,None,None,None,PT,34.3
2017,SH_PRV_SMOK,,None,Y_GE15,None,None,None,None,None,None,None,None,None,PT,33.1
2018,SH_PRV_SMOK,,None,Y_GE15,None,None,None,None,None,None,None,None,None,PT,31.9
2000,SH_PRV_SMOK,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,54.5
2005,SH_PRV_SMOK,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,40.5
2010,SH_PRV_SMOK,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,27.9
2015,SH_PRV_SMOK,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,19.2
2016,SH_PRV_SMOK,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,17.8
2017,SH_PRV_SMOK,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,16.5
2018,SH_PRV_SMOK,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,15.3
2000,SH_PRV_SMOK,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,73.9
2005,SH_PRV_SMOK,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,66.3
2010,SH_PRV_SMOK,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,58.9
2015,SH_PRV_SMOK,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,52.2
2016,SH_PRV_SMOK,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,50.8
2017,SH_PRV_SMOK,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,49.6
2018,SH_PRV_SMOK,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,48.6
