Year,Value,SERIES,UNIT_MEASURE
2000,0.19,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2001,0.18,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2002,0.18,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2003,0.17,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2004,0.16,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2005,0.15,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2006,0.13,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2007,0.11,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2008,0.1,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2009,0.09,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2010,0.08,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2011,0.07,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2012,0.06,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2013,0.05,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2014,0.05,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2015,0.04,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2016,0.04,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2017,0.03,SH_HIV_INCD,PER_1000_UNINFECTED_POP
2018,0.03,SH_HIV_INCD,PER_1000_UNINFECTED_POP
