Year,Value,Units,Series
2000,3.1,T,EN_ATM_CO2
2001,3.35,T,EN_ATM_CO2
2002,2.671,T,EN_ATM_CO2
2003,2.905,T,EN_ATM_CO2
2004,2.697,T,EN_ATM_CO2
2005,3.074,T,EN_ATM_CO2
2006,2.501,T,EN_ATM_CO2
2007,2.578,T,EN_ATM_CO2
2008,2.882,T,EN_ATM_CO2
2009,3.427,T,EN_ATM_CO2
2010,4.122,T,EN_ATM_CO2
2011,4.405,T,EN_ATM_CO2
2012,4.972,T,EN_ATM_CO2
2013,4.945,T,EN_ATM_CO2
2014,5.949,T,EN_ATM_CO2
2015,5.694,T,EN_ATM_CO2
2016,8.504,T,EN_ATM_CO2
2017,10.114,T,EN_ATM_CO2
2000,0.08656,KG_PER_CON_USD,EN_ATM_CO2GDP
2001,0.08926,KG_PER_CON_USD,EN_ATM_CO2GDP
2002,0.07107,KG_PER_CON_USD,EN_ATM_CO2GDP
2003,0.07436,KG_PER_CON_USD,EN_ATM_CO2GDP
2004,0.06595,KG_PER_CON_USD,EN_ATM_CO2GDP
2005,0.07265,KG_PER_CON_USD,EN_ATM_CO2GDP
2006,0.05718,KG_PER_CON_USD,EN_ATM_CO2GDP
2007,0.057,KG_PER_CON_USD,EN_ATM_CO2GDP
2008,0.06006,KG_PER_CON_USD,EN_ATM_CO2GDP
2009,0.06832,KG_PER_CON_USD,EN_ATM_CO2GDP
2010,0.07839,KG_PER_CON_USD,EN_ATM_CO2GDP
2011,0.081,KG_PER_CON_USD,EN_ATM_CO2GDP
2012,0.08725,KG_PER_CON_USD,EN_ATM_CO2GDP
2013,0.08334,KG_PER_CON_USD,EN_ATM_CO2GDP
2014,0.0946,KG_PER_CON_USD,EN_ATM_CO2GDP
2015,0.08763,KG_PER_CON_USD,EN_ATM_CO2GDP
2016,0.13011,KG_PER_CON_USD,EN_ATM_CO2GDP
2017,0.14341,KG_PER_CON_USD,EN_ATM_CO2GDP
2000,1.25,KG_PER_CON_USD,EN_ATM_CO2MVA
2001,1.37,KG_PER_CON_USD,EN_ATM_CO2MVA
2002,0.73,KG_PER_CON_USD,EN_ATM_CO2MVA
2003,0.88,KG_PER_CON_USD,EN_ATM_CO2MVA
2004,0.74,KG_PER_CON_USD,EN_ATM_CO2MVA
2005,1.11,KG_PER_CON_USD,EN_ATM_CO2MVA
2006,0.66,KG_PER_CON_USD,EN_ATM_CO2MVA
2007,0.84,KG_PER_CON_USD,EN_ATM_CO2MVA
2008,0.79,KG_PER_CON_USD,EN_ATM_CO2MVA
2009,0.8,KG_PER_CON_USD,EN_ATM_CO2MVA
2010,1.26,KG_PER_CON_USD,EN_ATM_CO2MVA
2011,1.43,KG_PER_CON_USD,EN_ATM_CO2MVA
2012,1.65,KG_PER_CON_USD,EN_ATM_CO2MVA
2013,1.24,KG_PER_CON_USD,EN_ATM_CO2MVA
2014,1.68,KG_PER_CON_USD,EN_ATM_CO2MVA
2015,1.92,KG_PER_CON_USD,EN_ATM_CO2MVA
2016,2.6,KG_PER_CON_USD,EN_ATM_CO2MVA
2017,2.72,KG_PER_CON_USD,EN_ATM_CO2MVA
