Year,Value,SERIES,UNIT_MEASURE
2000,17.16501,DC_TOF_HLTHL,CON_USD
2001,39.7095,DC_TOF_HLTHL,CON_USD
2002,22.28263,DC_TOF_HLTHL,CON_USD
2003,20.93818,DC_TOF_HLTHL,CON_USD
2004,16.34356,DC_TOF_HLTHL,CON_USD
2005,20.66811,DC_TOF_HLTHL,CON_USD
2006,25.04582,DC_TOF_HLTHL,CON_USD
2007,40.26797,DC_TOF_HLTHL,CON_USD
2008,42.65092,DC_TOF_HLTHL,CON_USD
2009,38.51642,DC_TOF_HLTHL,CON_USD
2010,80.1602,DC_TOF_HLTHL,CON_USD
2011,57.64695,DC_TOF_HLTHL,CON_USD
2012,56.90202,DC_TOF_HLTHL,CON_USD
2013,79.24889,DC_TOF_HLTHL,CON_USD
2014,111.28459,DC_TOF_HLTHL,CON_USD
2015,103.98951,DC_TOF_HLTHL,CON_USD
2016,75.73755,DC_TOF_HLTHL,CON_USD
2017,63.83309,DC_TOF_HLTHL,CON_USD
2018,55.41997,DC_TOF_HLTHL,CON_USD
2010,79.98029,DC_TOF_HLTHNT,CON_USD
2011,57.43507,DC_TOF_HLTHNT,CON_USD
2012,56.66883,DC_TOF_HLTHNT,CON_USD
2013,78.8784,DC_TOF_HLTHNT,CON_USD
2014,110.1108,DC_TOF_HLTHNT,CON_USD
2015,103.31307,DC_TOF_HLTHNT,CON_USD
2016,74.33377,DC_TOF_HLTHNT,CON_USD
2017,62.49575,DC_TOF_HLTHNT,CON_USD
2018,53.99728,DC_TOF_HLTHNT,CON_USD
