Year,Value,SERIES,UNIT_MEASURE
2000,205.0,SG_GEN_PARLNT,NUMBER
2001,205.0,SG_GEN_PARLNT,NUMBER
2002,205.0,SG_GEN_PARLNT,NUMBER
2007,329.0,SG_GEN_PARLNT,NUMBER
2008,329.0,SG_GEN_PARLNT,NUMBER
2009,594.0,SG_GEN_PARLNT,NUMBER
2010,594.0,SG_GEN_PARLNT,NUMBER
2011,594.0,SG_GEN_PARLNT,NUMBER
2012,594.0,SG_GEN_PARLNT,NUMBER
2013,594.0,SG_GEN_PARLNT,NUMBER
2014,575.0,SG_GEN_PARLNT,NUMBER
2015,597.0,SG_GEN_PARLNT,NUMBER
2016,599.0,SG_GEN_PARLNT,NUMBER
2017,595.0,SG_GEN_PARLNT,NUMBER
2018,275.0,SG_GEN_PARLNT,NUMBER
2019,275.0,SG_GEN_PARLNT,NUMBER
2020,275.0,SG_GEN_PARLNT,NUMBER
