Year,Series,Reference area,Units,Value
2000,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,7.87
2001,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,7.73
2002,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,7.31
2003,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,7.03
2004,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,6.86
2005,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,6.81
2006,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,6.72
2007,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,6.66
2008,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,6.22
2009,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,5.89
2010,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,5.79
2011,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,5.82
2012,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,5.76
2013,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,5.73
2014,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,5.75
2015,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,5.59
2016,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,5.11
2017,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,5.18
2018,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,5.3
2019,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,5.29
2020,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,5.01
2000,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,8.91
2001,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,8.7
2002,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,8.21
2003,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,7.89
2004,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,7.76
2005,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,7.62
2006,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,7.31
2007,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,7.17
2008,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,7.01
2009,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,6.62
2010,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,5.95
2011,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,5.89
2012,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,5.97
2013,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,5.92
2014,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,5.75
2015,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,5.59
2016,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,5.37
2017,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,5.01
2018,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,4.99
2019,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],,Percent,4.98
2000,Manufacturing value added per capita [9.2.1],,Constant USD,37.4
2001,Manufacturing value added per capita [9.2.1],,Constant USD,38.1
2002,Manufacturing value added per capita [9.2.1],,Constant USD,35.5
2003,Manufacturing value added per capita [9.2.1],,Constant USD,35.1
2004,Manufacturing value added per capita [9.2.1],,Constant USD,35.3
2005,Manufacturing value added per capita [9.2.1],,Constant USD,35.8
2006,Manufacturing value added per capita [9.2.1],,Constant USD,36.1
2007,Manufacturing value added per capita [9.2.1],,Constant USD,36.5
2008,Manufacturing value added per capita [9.2.1],,Constant USD,35.8
2009,Manufacturing value added per capita [9.2.1],,Constant USD,35.2
2010,Manufacturing value added per capita [9.2.1],,Constant USD,36.1
2011,Manufacturing value added per capita [9.2.1],,Constant USD,37.5
2012,Manufacturing value added per capita [9.2.1],,Constant USD,38.9
2013,Manufacturing value added per capita [9.2.1],,Constant USD,40.5
2014,Manufacturing value added per capita [9.2.1],,Constant USD,43.0
2015,Manufacturing value added per capita [9.2.1],,Constant USD,43.0
2016,Manufacturing value added per capita [9.2.1],,Constant USD,39.2
2017,Manufacturing value added per capita [9.2.1],,Constant USD,42.4
2018,Manufacturing value added per capita [9.2.1],,Constant USD,45.6
2019,Manufacturing value added per capita [9.2.1],,Constant USD,47.8
2020,Manufacturing value added per capita [9.2.1],,Constant USD,44.5
