Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,SH_STA_WAST,,PT,11.3
2019,SH_STA_WAST,,PT,12.0
2019,SH_STA_WAST,प्रान्त न। १,PT,14.3
2019,SH_STA_WAST,प्रान्त न। २,PT,13.9
2019,SH_STA_WAST,वाग्मती,PT,4.7
2019,SH_STA_WAST,गण्डकी,PT,8.0
2019,SH_STA_WAST,लुम्बिनी,PT,13.7
2019,SH_STA_WAST,कर्णाली,PT,17.6
2019,SH_STA_WAST,सुदूरपश्चिम,PT,14.1
2014,SN_STA_OVWGT,,PT,2.1
2019,SN_STA_OVWGT,,PT,2.6
2019,SN_STA_OVWGT,प्रान्त न। १,PT,0.9
2019,SN_STA_OVWGT,प्रान्त न। २,PT,3.8
2019,SN_STA_OVWGT,वाग्मती,PT,3.4
2019,SN_STA_OVWGT,गण्डकी,PT,3.0
2019,SN_STA_OVWGT,लुम्बिनी,PT,1.9
2019,SN_STA_OVWGT,कर्णाली,PT,3.7
2019,SN_STA_OVWGT,सुदूरपश्चिम,PT,1.3
2014,_L_NP_02_02_02_1,,PT,3.2
2019,_L_NP_02_02_02_1,,PT,2.9
2019,_L_NP_02_02_02_1,प्रान्त न। १,PT,2.7
2019,_L_NP_02_02_02_1,प्रान्त न। २,PT,3.9
2019,_L_NP_02_02_02_1,वाग्मती,PT,1.1
2019,_L_NP_02_02_02_1,गण्डकी,PT,1.8
2019,_L_NP_02_02_02_1,लुम्बिनी,PT,3.6
2019,_L_NP_02_02_02_1,कर्णाली,PT,3.9
2019,_L_NP_02_02_02_1,सुदूरपश्चिम,PT,3.6
2019,_L_NP_02_02_02_2,,PT,1.0
2019,_L_NP_02_02_02_2,प्रान्त न। १,PT,0.2
2019,_L_NP_02_02_02_2,प्रान्त न। २,PT,1.5
2019,_L_NP_02_02_02_2,वाग्मती,PT,1.4
2019,_L_NP_02_02_02_2,गण्डकी,PT,2.0
2019,_L_NP_02_02_02_2,लुम्बिनी,PT,0.5
2019,_L_NP_02_02_02_2,कर्णाली,PT,1.2
2019,_L_NP_02_02_02_2,सुदूरपश्चिम,PT,0.3
