Year,Series,Reference area,Units,Value
2000,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],,Tonnes per hectare,184.05
2010,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],,Tonnes per hectare,176.82
2015,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],,Tonnes per hectare,176.82
2016,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],,Tonnes per hectare,176.82
2017,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],,Tonnes per hectare,176.82
2018,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],,Tonnes per hectare,176.82
2019,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],,Tonnes per hectare,176.82
2020,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],,Tonnes per hectare,176.82
2000,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],,Hectares,0.0
2005,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],,Hectares,14.145
2010,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],,Hectares,14.145
2015,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],,Hectares,0.0
2016,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],,Hectares,0.0
2017,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],,Hectares,0.0
2018,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],,Hectares,0.0
2019,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],,Hectares,12.282
2020,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],,Hectares,0.0
2010,Forest area net change rate (%) [15.2.1],,Percent,-0.01
2020,Forest area net change rate (%) [15.2.1],,Percent,0.0
2000,Proportion of forest area with a long-term management plan [15.2.1],,Percent,82.87
2010,Proportion of forest area with a long-term management plan [15.2.1],,Percent,82.72
2015,Proportion of forest area with a long-term management plan [15.2.1],,Percent,82.72
2016,Proportion of forest area with a long-term management plan [15.2.1],,Percent,82.72
2017,Proportion of forest area with a long-term management plan [15.2.1],,Percent,82.72
2018,Proportion of forest area with a long-term management plan [15.2.1],,Percent,82.72
2019,Proportion of forest area with a long-term management plan [15.2.1],,Percent,82.72
2020,Proportion of forest area with a long-term management plan [15.2.1],,Percent,82.72
2000,Proportion of forest area within legally established protected areas [15.2.1],,Percent,17.28
2010,Proportion of forest area within legally established protected areas [15.2.1],,Percent,17.28
2015,Proportion of forest area within legally established protected areas [15.2.1],,Percent,17.28
2016,Proportion of forest area within legally established protected areas [15.2.1],,Percent,17.28
2017,Proportion of forest area within legally established protected areas [15.2.1],,Percent,17.28
2018,Proportion of forest area within legally established protected areas [15.2.1],,Percent,17.28
2019,Proportion of forest area within legally established protected areas [15.2.1],,Percent,17.28
2020,Proportion of forest area within legally established protected areas [15.2.1],,Percent,17.28
