Year,Value,Units,Series
2000,0.948,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2001,1.232,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2002,3.636,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2003,4.912,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2004,5.562,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2005,8.005,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2006,10.173,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2007,12.757,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2008,15.71,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2009,18.971,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2010,21.773,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2011,25.314,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2012,28.163,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2013,30.084,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2014,31.756,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2015,33.496,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2016,30.673,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2017,30.44,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2018,30.561,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2019,28.071,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
2020,27.017,"Per 100,000 population","Proportion of the population who are refugees, by country of origin [10.7.4]"
