Year,Value,UNIT_MEASURE,SERIES
2015,53.0,Percent,3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income _ Percent of out of pocket expenditure in total health expenditure
2018,45.0,Percent,3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income _ Percent of out of pocket expenditure in total health expenditure
2019,42.0,Percent,3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income _ Percent of out of pocket expenditure in total health expenditure
2020,40.0,Percent,3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income _ Percent of out of pocket expenditure in total health expenditure
2022,35.0,Percent,3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income _ Percent of out of pocket expenditure in total health expenditure
2015,10.7,Percent,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2]
2018,7.5,Percent,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2]
2019,6.0,Percent,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2]
2020,4.0,Percent,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2]
2022,2.0,Percent,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2]
