Year,Value,Units,Series
2000,0.62145,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2001,1.48264,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2002,0.65285,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2003,0.82635,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2004,0.75308,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2005,0.63864,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2006,0.91817,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2007,0.82584,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2008,0.94308,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2009,1.41129,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2010,0.98572,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2011,0.75673,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2012,0.65412,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2013,0.78865,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2014,1.00613,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2015,0.74008,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2016,0.64825,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2017,0.58189,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
2018,0.5404,Percent,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]"
