Year,Value,Units,Series
2000,6,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2001,7,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2002,8,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2003,10,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2004,11,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2005,13,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2006,15,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2007,17,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2008,18,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2009,20,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2010,21,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2011,23,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2012,24,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2013,26,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2014,27,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2015,28,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2016,29,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2017,29,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2018,30,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2019,31,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
