Year,Value,Units,Series
2015,29.53218,Percent,Prevalence of moderate or severe food insecurity in the population [2.1.2]
2016,31.15823,Percent,Prevalence of moderate or severe food insecurity in the population [2.1.2]
2017,31.61175,Percent,Prevalence of moderate or severe food insecurity in the population [2.1.2]
2018,33.81686,Percent,Prevalence of moderate or severe food insecurity in the population [2.1.2]
2015,7991.8447,Number,Population in moderate or severe food insecurity (number) [2.1.2]
2016,8507.35421,Number,Population in moderate or severe food insecurity (number) [2.1.2]
2017,8745.05644,Number,Population in moderate or severe food insecurity (number) [2.1.2]
2018,9506.72119,Number,Population in moderate or severe food insecurity (number) [2.1.2]
2015,10.43539,Percent,Prevalence of severe food insecurity in the population [2.1.2]
2016,9.61212,Percent,Prevalence of severe food insecurity in the population [2.1.2]
2017,9.56021,Percent,Prevalence of severe food insecurity in the population [2.1.2]
2018,10.33187,Percent,Prevalence of severe food insecurity in the population [2.1.2]
2015,2823.97,Number,Population in severe food insecurity (number) [2.1.2]
2016,2624.47,Number,Population in severe food insecurity (number) [2.1.2]
2017,2644.73,Number,Population in severe food insecurity (number) [2.1.2]
2018,2904.53,Number,Population in severe food insecurity (number) [2.1.2]
