Year,Value,Units,Series
2000,330.61023,USD,"Total assistance for development, by recipient countries [10.b.1]"
2001,429.00523,USD,"Total assistance for development, by recipient countries [10.b.1]"
2002,248.67733,USD,"Total assistance for development, by recipient countries [10.b.1]"
2003,450.99802,USD,"Total assistance for development, by recipient countries [10.b.1]"
2004,417.81229,USD,"Total assistance for development, by recipient countries [10.b.1]"
2005,397.08543,USD,"Total assistance for development, by recipient countries [10.b.1]"
2006,439.1621,USD,"Total assistance for development, by recipient countries [10.b.1]"
2007,552.16639,USD,"Total assistance for development, by recipient countries [10.b.1]"
2008,607.71192,USD,"Total assistance for development, by recipient countries [10.b.1]"
2009,692.11934,USD,"Total assistance for development, by recipient countries [10.b.1]"
2010,749.45726,USD,"Total assistance for development, by recipient countries [10.b.1]"
2011,733.76194,USD,"Total assistance for development, by recipient countries [10.b.1]"
2012,851.42326,USD,"Total assistance for development, by recipient countries [10.b.1]"
2013,1004.72571,USD,"Total assistance for development, by recipient countries [10.b.1]"
2014,888.37542,USD,"Total assistance for development, by recipient countries [10.b.1]"
2015,1214.5901,USD,"Total assistance for development, by recipient countries [10.b.1]"
2016,1071.16871,USD,"Total assistance for development, by recipient countries [10.b.1]"
2017,1320.07574,USD,"Total assistance for development, by recipient countries [10.b.1]"
2018,1473.00713,USD,"Total assistance for development, by recipient countries [10.b.1]"
