Year,Value,Units,Series
2000,0.2,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2001,0.19,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2002,0.18,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2003,0.17,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2004,0.16,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2005,0.15,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2006,0.13,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2007,0.11,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2008,0.1,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2009,0.09,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2010,0.08,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2011,0.07,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2012,0.06,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2013,0.05,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2014,0.05,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2015,0.04,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2016,0.04,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2017,0.03,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2018,0.03,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2019,0.03,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
