Year,Value,Units,Series
2000,6.92531,Percent,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2005,6.25313,Percent,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2010,6.1825,Percent,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2011,6.18238,Percent,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2012,6.36848,Percent,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2013,6.36717,Percent,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2014,6.33957,Percent,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2015,6.34105,Percent,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2016,6.33107,Percent,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2017,6.179,Percent,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2018,6.31693,Percent,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]"
2000,3.23181,Percent,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2005,2.46329,Percent,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2010,2.45482,Percent,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2011,2.45075,Percent,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2012,2.63814,Percent,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2013,2.64101,Percent,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2014,2.64285,Percent,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2015,2.64777,Percent,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2016,2.63355,Percent,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2017,2.50361,Percent,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
2018,2.61017,Percent,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]"
