Year,Value,Units,Series
2005,164.60351,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2006,207.34817,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2007,206.84367,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2008,197.13493,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2009,281.05415,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2010,455.80748,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2011,415.95513,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2012,399.19279,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2013,944.15755,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2014,616.45874,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2015,343.31709,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2016,480.87607,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2017,798.03844,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2018,774.33469,Constant USD,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
2006,109.94607,Constant USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
2007,120.40686,Constant USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
2008,149.37707,Constant USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
2009,154.77794,Constant USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
2010,239.37515,Constant USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
2011,252.49819,Constant USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
2012,254.76187,Constant USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
2013,304.38647,Constant USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
2014,307.5205,Constant USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
2015,416.14748,Constant USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
2016,294.99382,Constant USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
2017,510.64633,Constant USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
2018,440.53853,Constant USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
