Year,Value,Units,Series
2000,184.05,Tonnes per hectare,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2010,176.82,Tonnes per hectare,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2015,176.82,Tonnes per hectare,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2016,176.82,Tonnes per hectare,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2017,176.82,Tonnes per hectare,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2018,176.82,Tonnes per hectare,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2019,176.82,Tonnes per hectare,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2020,176.82,Tonnes per hectare,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2000,0.0,Hectares,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2005,14.145,Hectares,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2010,14.145,Hectares,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2015,0.0,Hectares,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2016,0.0,Hectares,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2017,0.0,Hectares,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2018,0.0,Hectares,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2019,12.282,Hectares,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2020,0.0,Hectares,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2010,-0.01,Percent,Forest area net change rate (%) [15.2.1]
2020,0.0,Percent,Forest area net change rate (%) [15.2.1]
2000,82.87,Percent,Proportion of forest area with a long-term management plan [15.2.1]
2010,82.72,Percent,Proportion of forest area with a long-term management plan [15.2.1]
2015,82.72,Percent,Proportion of forest area with a long-term management plan [15.2.1]
2016,82.72,Percent,Proportion of forest area with a long-term management plan [15.2.1]
2017,82.72,Percent,Proportion of forest area with a long-term management plan [15.2.1]
2018,82.72,Percent,Proportion of forest area with a long-term management plan [15.2.1]
2019,82.72,Percent,Proportion of forest area with a long-term management plan [15.2.1]
2020,82.72,Percent,Proportion of forest area with a long-term management plan [15.2.1]
2000,17.28,Percent,Proportion of forest area within legally established protected areas [15.2.1]
2010,17.28,Percent,Proportion of forest area within legally established protected areas [15.2.1]
2015,17.28,Percent,Proportion of forest area within legally established protected areas [15.2.1]
2016,17.28,Percent,Proportion of forest area within legally established protected areas [15.2.1]
2017,17.28,Percent,Proportion of forest area within legally established protected areas [15.2.1]
2018,17.28,Percent,Proportion of forest area within legally established protected areas [15.2.1]
2019,17.28,Percent,Proportion of forest area within legally established protected areas [15.2.1]
2020,17.28,Percent,Proportion of forest area within legally established protected areas [15.2.1]
