Year,Value,Units,Series
2000,12.1,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2001,12.12,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2002,11.86,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2003,11.86,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2004,9.19,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2005,9.19,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2006,9.13,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2007,9.19,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2008,1.9,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2009,2.14,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2010,8.47,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2011,8.38,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2012,8.38,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2013,8.38,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2014,8.38,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2015,8.38,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2016,8.38,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2017,8.38,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2018,8.38,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
