Year,Value,Units,Series
1990,14.53116,Percent,Debt service as a proportion of exports of goods and services
1991,11.17499,Percent,Debt service as a proportion of exports of goods and services
1992,9.18233,Percent,Debt service as a proportion of exports of goods and services
1993,8.61512,Percent,Debt service as a proportion of exports of goods and services
1994,7.81449,Percent,Debt service as a proportion of exports of goods and services
1995,7.68718,Percent,Debt service as a proportion of exports of goods and services
1996,6.52582,Percent,Debt service as a proportion of exports of goods and services
1997,6.93006,Percent,Debt service as a proportion of exports of goods and services
1998,7.93733,Percent,Debt service as a proportion of exports of goods and services
1999,7.99309,Percent,Debt service as a proportion of exports of goods and services
2000,7.39416,Percent,Debt service as a proportion of exports of goods and services
2001,7.70669,Percent,Debt service as a proportion of exports of goods and services
2002,10.20136,Percent,Debt service as a proportion of exports of goods and services
2003,10.04593,Percent,Debt service as a proportion of exports of goods and services
2004,8.97048,Percent,Debt service as a proportion of exports of goods and services
2005,8.18599,Percent,Debt service as a proportion of exports of goods and services
2006,9.68741,Percent,Debt service as a proportion of exports of goods and services
2007,8.61938,Percent,Debt service as a proportion of exports of goods and services
2008,8.27386,Percent,Debt service as a proportion of exports of goods and services
2009,9.97659,Percent,Debt service as a proportion of exports of goods and services
2010,10.41391,Percent,Debt service as a proportion of exports of goods and services
2011,8.9984,Percent,Debt service as a proportion of exports of goods and services
2012,10.03123,Percent,Debt service as a proportion of exports of goods and services
2013,8.58646,Percent,Debt service as a proportion of exports of goods and services
2014,7.84996,Percent,Debt service as a proportion of exports of goods and services
2015,7.89666,Percent,Debt service as a proportion of exports of goods and services
2016,8.67174,Percent,Debt service as a proportion of exports of goods and services
2017,7.38106,Percent,Debt service as a proportion of exports of goods and services
