Year,Value,Units,Series
1993,1.4979366,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
1994,1.2323896,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
1995,1.2911002,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
1996,0.9766525,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
1997,1.0055124,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
1998,1.3900609,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
1999,1.6580991,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2000,2.0293606,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2001,2.4468754,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2002,11.2130196,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2003,12.1803239,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2004,11.30899,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2005,14.905102,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2006,16.0689647,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2007,16.7918135,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2008,21.738104,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2009,23.2076254,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2010,21.6469853,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2011,22.2955954,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2012,25.4223943,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2013,28.9743835,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2014,29.4388808,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2015,31.4323744,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2016,31.2086414,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2017,27.5137943,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
2018,28.5596673,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2]
