Year,Value,Units,Series
2000,7.83,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2001,7.72,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2002,7.79,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2003,7.71,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2004,7.47,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2005,7.47,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2006,7.22,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2007,7.12,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2008,6.94,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2009,6.84,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2010,6.72,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2011,6.72,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2012,6.13,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2013,6.57,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2014,6.45,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2015,6.24,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2016,6.76,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2017,6.61,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
2018,6.43,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy [7.3.1]
