Year,Value,Units,Series
2000,74,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2001,72,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2002,72,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2003,78,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2004,80,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2005,75,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2006,89,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2007,82,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2008,82,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2009,89,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2010,82,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2011,92,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2012,90,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2013,92,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2014,92,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2015,91,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2016,87,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2017,90,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2018,91,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2016,25,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2017,59,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2018,69,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2015,5,Percent,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1]
2016,46,Percent,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1]
2017,80,Percent,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1]
2018,82,Percent,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1]
