Year,Value,Units,Series
2000,417,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2001,405,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2002,393,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2003,382,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2004,371,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2005,360,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2006,350,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2007,339,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2008,329,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2009,320,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2010,311,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2011,302,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2012,293,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2013,284,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2014,276,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2015,268,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2016,260,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2017,253,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2018,245,"Per 100,000 population",Tuberculosis incidence [3.3.2]
2019,238,"Per 100,000 population",Tuberculosis incidence [3.3.2]
