Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2000,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.4
2001,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.4
2002,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
2003,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
2004,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
2005,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
2006,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
2007,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
2008,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
2009,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
2010,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
2011,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
2012,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
2013,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
2014,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
2015,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,None,None,None,None,None,None,None,None,None,None,None,Percent,8.3
