Year,Series,Reference area,Sex,Age,Units,Value
2000,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,,15 years old and over,Litres pure alcohol,0.20747
2005,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,,15 years old and over,Litres pure alcohol,0.36884
2010,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,,15 years old and over,Litres pure alcohol,0.40342
2015,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,,15 years old and over,Litres pure alcohol,0.46681
2019,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,,15 years old and over,Litres pure alcohol,0.61665
2000,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,Female,15 years old and over,Litres pure alcohol,0.07443
2005,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,Female,15 years old and over,Litres pure alcohol,0.13142
2010,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,Female,15 years old and over,Litres pure alcohol,0.14669
2015,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,Female,15 years old and over,Litres pure alcohol,0.18597
2019,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,Female,15 years old and over,Litres pure alcohol,0.24688
2000,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,Male,15 years old and over,Litres pure alcohol,0.34725
2005,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,Male,15 years old and over,Litres pure alcohol,0.61928
2010,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,Male,15 years old and over,Litres pure alcohol,0.68219
2015,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,Male,15 years old and over,Litres pure alcohol,0.83035
2019,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,Male,15 years old and over,Litres pure alcohol,1.09891
