Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2000,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,7
2001,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,8
2002,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,9
2003,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,10
2004,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,12
2005,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,14
2006,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,15
2007,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,17
2008,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,18
2009,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,20
2010,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,21
2011,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,22
2012,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,24
2013,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,25
2014,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,26
2015,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,27
2016,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,28
2017,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,29
2018,Proportion of population with primary reliance on clean fuels and technology,,None,None,None,None,None,None,None,None,None,None,None,Percent,29
