Year,Series,Reference area,Sex,Age,Units,Value
2007,VC_HTF_DETV,,,,NUMBER,147
2008,VC_HTF_DETV,,,,NUMBER,145
2009,VC_HTF_DETV,,,,NUMBER,197
2010,VC_HTF_DETV,,,,NUMBER,193
2011,VC_HTF_DETV,,,,NUMBER,141
2012,VC_HTF_DETV,,,,NUMBER,271
2013,VC_HTF_DETV,,,,NUMBER,237
2014,VC_HTF_DETV,,,,NUMBER,266
2016,VC_HTF_DETV,,,,NUMBER,350
2018,VC_HTF_DETVFL,,Female,,NUMBER,141
2018,VC_HTF_DETVFL,,Female,18 years old and over,NUMBER,115
2018,VC_HTF_DETVFL,,Female,under 18 years old,NUMBER,26
2018,VC_HTF_DETVFL,,Male,,NUMBER,98
2018,VC_HTF_DETVFL,,Male,18 years old and over,NUMBER,56
2018,VC_HTF_DETVFL,,Male,under 18 years old,NUMBER,42
