Year,SDG Series,Unit of measure,Value
2000,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.62145
2001,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,1.48264
2002,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.65285
2003,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.82635
2004,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.75308
2005,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.63864
2006,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.91817
2007,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.82584
2008,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.94308
2009,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,1.41129
2010,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.98572
2011,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.75673
2012,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.65412
2013,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.78865
2014,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,1.00613
2015,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.74008
2016,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.64825
2017,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.58189
2018,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) [1.a.1]",Percent,0.5404
