Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2000,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,2.59902
2001,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,2.81879
2002,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.04334
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.40207
2004,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.27398
2005,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.29353
2006,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.26253
2007,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.21553
2008,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.28745
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.35746
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.43356
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.46799
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.63113
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.59206
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.72122
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.77572
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.8397
