Year,Series,Reference area,Units,Value
2004,Labour share of GDP [10.4.1],,Percent,41.0
2005,Labour share of GDP [10.4.1],,Percent,41.4
2006,Labour share of GDP [10.4.1],,Percent,41.3
2007,Labour share of GDP [10.4.1],,Percent,41.1
2008,Labour share of GDP [10.4.1],,Percent,39.6
2009,Labour share of GDP [10.4.1],,Percent,40.2
2010,Labour share of GDP [10.4.1],,Percent,39.9
2011,Labour share of GDP [10.4.1],,Percent,40.4
2012,Labour share of GDP [10.4.1],,Percent,39.5
2013,Labour share of GDP [10.4.1],,Percent,39.6
2014,Labour share of GDP [10.4.1],,Percent,38.6
2015,Labour share of GDP [10.4.1],,Percent,39.6
2016,Labour share of GDP [10.4.1],,Percent,40.8
2017,Labour share of GDP [10.4.1],,Percent,37.1
