Year,Series,Reference area,Units,Value
2001,Prevalence of undernourishment,,Percent,23.6
2002,Prevalence of undernourishment,,Percent,21.9
2003,Prevalence of undernourishment,,Percent,19.9
2004,Prevalence of undernourishment,,Percent,17.7
2005,Prevalence of undernourishment,,Percent,16.9
2006,Prevalence of undernourishment,,Percent,16.0
2007,Prevalence of undernourishment,,Percent,15.0
2008,Prevalence of undernourishment,,Percent,13.1
2009,Prevalence of undernourishment,,Percent,11.5
2010,Prevalence of undernourishment,,Percent,9.9
2011,Prevalence of undernourishment,,Percent,8.4
2012,Prevalence of undernourishment,,Percent,7.1
2013,Prevalence of undernourishment,,Percent,6.6
2014,Prevalence of undernourishment,,Percent,6.5
2015,Prevalence of undernourishment,,Percent,6.4
2016,Prevalence of undernourishment,,Percent,6.0
2017,Prevalence of undernourishment,,Percent,6.0
2018,Prevalence of undernourishment,,Percent,6.1
2001,Number of undernourish people,,Number,5.7
2002,Number of undernourish people,,Number,5.4
2003,Number of undernourish people,,Number,5.0
2004,Number of undernourish people,,Number,4.5
2005,Number of undernourish people,,Number,4.3
2006,Number of undernourish people,,Number,4.2
2007,Number of undernourish people,,Number,4.0
2008,Number of undernourish people,,Number,3.5
2009,Number of undernourish people,,Number,3.1
2010,Number of undernourish people,,Number,2.7
2011,Number of undernourish people,,Number,2.3
2012,Number of undernourish people,,Number,1.9
2013,Number of undernourish people,,Number,1.8
2014,Number of undernourish people,,Number,1.7
2015,Number of undernourish people,,Number,1.7
2016,Number of undernourish people,,Number,1.6
2017,Number of undernourish people,,Number,1.7
2018,Number of undernourish people,,Number,1.7
