Year,SDG Series,Unit of measure,Value
2005,Number of people affected by disaster,Number,8170.754
2006,Number of people affected by disaster,Number,310052.76347
2007,Number of people affected by disaster,Number,83818.11452
2008,Number of people affected by disaster,Number,410644.96231
2009,Number of people affected by disaster,Number,203757.86395
2010,Number of people affected by disaster,Number,220624.86523
2011,Number of people affected by disaster,Number,13992.0
2012,Number of people affected by disaster,Number,39128.0
2013,Number of people affected by disaster,Number,27196.0
2014,Number of people affected by disaster,Number,364259.0
2015,Number of people affected by disaster,Number,10230262.0
2016,Number of people affected by disaster,Number,84580.0
2017,Number of people affected by disaster,Number,1111595.0
2018,Number of people affected by disaster,Number,64255.0
2019,Number of people affected by disaster,Number,183401.0
2005,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",33.43899
2006,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",1251.89777
2007,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",333.89763
2008,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",1613.92792
2009,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",790.0857
2010,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",844.02725
2011,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",52.81095
2012,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",145.60304
2013,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",99.77493
2014,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",1317.58049
2015,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",36487.25668
2016,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",297.48701
2017,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",3856.26248
2018,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",219.90928
2019,"Number of directly affected persons attributed to disasters per 100,000 population","Per 100,000 population",641.06689
2005,Number of injured or ill people attributed to disasters,Number,165.0
2006,Number of injured or ill people attributed to disasters,Number,5859.0
2007,Number of injured or ill people attributed to disasters,Number,4694.0
2008,Number of injured or ill people attributed to disasters,Number,1267.0
2009,Number of injured or ill people attributed to disasters,Number,1305.0
2010,Number of injured or ill people attributed to disasters,Number,581.0
2011,Number of injured or ill people attributed to disasters,Number,408.0
2012,Number of injured or ill people attributed to disasters,Number,485.0
2013,Number of injured or ill people attributed to disasters,Number,518.0
2014,Number of injured or ill people attributed to disasters,Number,479.0
2015,Number of injured or ill people attributed to disasters,Number,22663.0
2016,Number of injured or ill people attributed to disasters,Number,764.0
2017,Number of injured or ill people attributed to disasters,Number,737.0
2018,Number of injured or ill people attributed to disasters,Number,2902.0
2019,Number of injured or ill people attributed to disasters,Number,2452.0
2005,Number of missing persons due to disaster,Number,100.0
2006,Number of missing persons due to disaster,Number,101.0
2007,Number of missing persons due to disaster,Number,92.0
2008,Number of missing persons due to disaster,Number,125.0
2009,Number of missing persons due to disaster,Number,140.0
2010,Number of missing persons due to disaster,Number,142.0
2011,Number of missing persons due to disaster,Number,135.0
2012,Number of missing persons due to disaster,Number,50.0
2013,Number of missing persons due to disaster,Number,184.0
2014,Number of missing persons due to disaster,Number,281.0
2015,Number of missing persons due to disaster,Number,212.0
2016,Number of missing persons due to disaster,Number,47.0
2017,Number of missing persons due to disaster,Number,67.0
2018,Number of missing persons due to disaster,Number,9.0
2019,Number of missing persons due to disaster,Number,41.0
2005,Number of deaths and missing persons attributed to disasters,Number,433.0
2006,Number of deaths and missing persons attributed to disasters,Number,700.0
2007,Number of deaths and missing persons attributed to disasters,Number,729.0
2008,Number of deaths and missing persons attributed to disasters,Number,1061.0
2009,Number of deaths and missing persons attributed to disasters,Number,1400.0
2010,Number of deaths and missing persons attributed to disasters,Number,1144.0
2011,Number of deaths and missing persons attributed to disasters,Number,553.0
2012,Number of deaths and missing persons attributed to disasters,Number,492.0
2013,Number of deaths and missing persons attributed to disasters,Number,640.0
2014,Number of deaths and missing persons attributed to disasters,Number,784.0
2015,Number of deaths and missing persons attributed to disasters,Number,9460.0
2016,Number of deaths and missing persons attributed to disasters,Number,497.0
2017,Number of deaths and missing persons attributed to disasters,Number,557.0
2018,Number of deaths and missing persons attributed to disasters,Number,487.0
2019,Number of deaths and missing persons attributed to disasters,Number,530.0
2005,Number of deaths due to disaster,Number,333.0
2006,Number of deaths due to disaster,Number,599.0
2007,Number of deaths due to disaster,Number,637.0
2008,Number of deaths due to disaster,Number,936.0
2009,Number of deaths due to disaster,Number,1260.0
2010,Number of deaths due to disaster,Number,1002.0
2011,Number of deaths due to disaster,Number,418.0
2012,Number of deaths due to disaster,Number,442.0
2013,Number of deaths due to disaster,Number,456.0
2014,Number of deaths due to disaster,Number,503.0
2015,Number of deaths due to disaster,Number,9248.0
2016,Number of deaths due to disaster,Number,450.0
2017,Number of deaths due to disaster,Number,490.0
2018,Number of deaths due to disaster,Number,478.0
2019,Number of deaths due to disaster,Number,489.0
2005,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",1.77206
2006,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",2.82638
2007,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",2.90404
2008,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",4.16997
2009,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",5.4286
2010,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",4.37651
2011,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",2.08723
2012,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",1.83083
2013,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",2.34799
2014,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",2.83585
2015,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",33.74004
2016,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",1.74806
2017,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",1.9323
2018,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",1.66673
2019,"Number of deaths and missing persons attributed to disasters per 100,000 population","Per 100,000 population",1.85258
2005,Number of people whose damaged dwellings were attributed to disasters,Number,2156.0
2006,Number of people whose damaged dwellings were attributed to disasters,Number,46363.0
2007,Number of people whose damaged dwellings were attributed to disasters,Number,7985.0
2008,Number of people whose damaged dwellings were attributed to disasters,Number,17898.0
2009,Number of people whose damaged dwellings were attributed to disasters,Number,49702.0
2010,Number of people whose damaged dwellings were attributed to disasters,Number,153066.0
2011,Number of people whose damaged dwellings were attributed to disasters,Number,3334.0
2012,Number of people whose damaged dwellings were attributed to disasters,Number,3983.0
2013,Number of people whose damaged dwellings were attributed to disasters,Number,1918.0
2014,Number of people whose damaged dwellings were attributed to disasters,Number,120514.0
2015,Number of people whose damaged dwellings were attributed to disasters,Number,1479914.0
2016,Number of people whose damaged dwellings were attributed to disasters,Number,5980.0
2017,Number of people whose damaged dwellings were attributed to disasters,Number,805169.0
2018,Number of people whose damaged dwellings were attributed to disasters,Number,9187.0
2019,Number of people whose damaged dwellings were attributed to disasters,Number,33551.0
2005,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,54.0
2006,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,247335.0
2007,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,19634.0
2008,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,304190.0
2009,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,132266.0
2010,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,37947.0
2011,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,3167.0
2012,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,13952.0
2013,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,12849.0
2014,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,194283.0
2015,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,4936439.0
2016,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,61092.0
2017,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,93076.0
2018,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,39933.0
2019,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",Number,123288.0
2005,Number of people whose destroyed dwellings were attributed to disasters,Number,5796.0
2006,Number of people whose destroyed dwellings were attributed to disasters,Number,10496.0
2007,Number of people whose destroyed dwellings were attributed to disasters,Number,51505.0
2008,Number of people whose destroyed dwellings were attributed to disasters,Number,87290.0
2009,Number of people whose destroyed dwellings were attributed to disasters,Number,20485.0
2010,Number of people whose destroyed dwellings were attributed to disasters,Number,29031.0
2011,Number of people whose destroyed dwellings were attributed to disasters,Number,7083.0
2012,Number of people whose destroyed dwellings were attributed to disasters,Number,20708.0
2013,Number of people whose destroyed dwellings were attributed to disasters,Number,11911.0
2014,Number of people whose destroyed dwellings were attributed to disasters,Number,48983.0
2015,Number of people whose destroyed dwellings were attributed to disasters,Number,3791246.0
2016,Number of people whose destroyed dwellings were attributed to disasters,Number,16744.0
2017,Number of people whose destroyed dwellings were attributed to disasters,Number,212613.0
2018,Number of people whose destroyed dwellings were attributed to disasters,Number,12233.0
2019,Number of people whose destroyed dwellings were attributed to disasters,Number,24110.0
