Year,SDG Series,Unit of measure,Value
2000,Manufacturing value added as a proportion of GDP,Percent,7.87
2001,Manufacturing value added as a proportion of GDP,Percent,7.73
2002,Manufacturing value added as a proportion of GDP,Percent,7.31
2003,Manufacturing value added as a proportion of GDP,Percent,7.03
2004,Manufacturing value added as a proportion of GDP,Percent,6.86
2005,Manufacturing value added as a proportion of GDP,Percent,6.81
2006,Manufacturing value added as a proportion of GDP,Percent,6.72
2007,Manufacturing value added as a proportion of GDP,Percent,6.66
2008,Manufacturing value added as a proportion of GDP,Percent,6.22
2009,Manufacturing value added as a proportion of GDP,Percent,5.89
2010,Manufacturing value added as a proportion of GDP,Percent,5.79
2011,Manufacturing value added as a proportion of GDP,Percent,5.82
2012,Manufacturing value added as a proportion of GDP,Percent,5.76
2013,Manufacturing value added as a proportion of GDP,Percent,5.73
2014,Manufacturing value added as a proportion of GDP,Percent,5.75
2015,Manufacturing value added as a proportion of GDP,Percent,5.59
2016,Manufacturing value added as a proportion of GDP,Percent,5.12
2017,Manufacturing value added as a proportion of GDP,Percent,5.22
2018,Manufacturing value added as a proportion of GDP,Percent,5.3
2019,Manufacturing value added as a proportion of GDP,Percent,5.41
2000,Manufacturing value added per capita,Constant USD,37.4
2001,Manufacturing value added per capita,Constant USD,38.1
2002,Manufacturing value added per capita,Constant USD,35.5
2003,Manufacturing value added per capita,Constant USD,35.1
2004,Manufacturing value added per capita,Constant USD,35.3
2005,Manufacturing value added per capita,Constant USD,35.8
2006,Manufacturing value added per capita,Constant USD,36.1
2007,Manufacturing value added per capita,Constant USD,36.5
2008,Manufacturing value added per capita,Constant USD,35.8
2009,Manufacturing value added per capita,Constant USD,35.2
2010,Manufacturing value added per capita,Constant USD,36.1
2011,Manufacturing value added per capita,Constant USD,37.5
2012,Manufacturing value added per capita,Constant USD,38.9
2013,Manufacturing value added per capita,Constant USD,40.5
2014,Manufacturing value added per capita,Constant USD,43.0
2015,Manufacturing value added per capita,Constant USD,43.0
2016,Manufacturing value added per capita,Constant USD,39.2
2017,Manufacturing value added per capita,Constant USD,42.4
2018,Manufacturing value added per capita,Constant USD,45.2
2019,Manufacturing value added per capita,Constant USD,48.5
