Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2000,Mortality rate attributed to unintentional poisonings,,None,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",1.5
2005,Mortality rate attributed to unintentional poisonings,,None,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",0.9
2010,Mortality rate attributed to unintentional poisonings,,None,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",0.7
2015,Mortality rate attributed to unintentional poisonings,,None,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",0.5
2016,Mortality rate attributed to unintentional poisonings,,None,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",0.4
2000,Mortality rate attributed to unintentional poisonings,,Female,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",1.2
2005,Mortality rate attributed to unintentional poisonings,,Female,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",0.8
2010,Mortality rate attributed to unintentional poisonings,,Female,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",0.5
2015,Mortality rate attributed to unintentional poisonings,,Female,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",0.4
2016,Mortality rate attributed to unintentional poisonings,,Female,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",0.3
2000,Mortality rate attributed to unintentional poisonings,,Male,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",1.7
2005,Mortality rate attributed to unintentional poisonings,,Male,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",1.1
2010,Mortality rate attributed to unintentional poisonings,,Male,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",0.8
2015,Mortality rate attributed to unintentional poisonings,,Male,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",0.6
2016,Mortality rate attributed to unintentional poisonings,,Male,None,None,None,None,None,None,None,None,None,None,"Per 100,000 population",0.6
