Year,Series,Reference area,Units,Value
2000,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",7.17938
2001,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",8.20604
2002,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",12.34522
2003,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",10.40495
2004,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",4.8999
2005,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",5.01304
2006,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",4.88751
2007,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",5.72187
2008,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",4.1647
2009,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",3.28598
2010,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",3.86666
2011,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",3.04439
2012,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",2.35155
2013,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",1.30084
2014,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",0.62559
2015,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",0.56389
2016,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",0.42621
2017,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",0.38535
2018,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",0.54539
2019,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",0.08152
