Year,Value,Units,Series
2000,17.16501,CON_USD,DC_TOF_HLTHL
2001,39.7095,CON_USD,DC_TOF_HLTHL
2002,22.28263,CON_USD,DC_TOF_HLTHL
2003,20.93818,CON_USD,DC_TOF_HLTHL
2004,16.34356,CON_USD,DC_TOF_HLTHL
2005,20.66811,CON_USD,DC_TOF_HLTHL
2006,25.04582,CON_USD,DC_TOF_HLTHL
2007,40.26797,CON_USD,DC_TOF_HLTHL
2008,42.65092,CON_USD,DC_TOF_HLTHL
2009,38.51642,CON_USD,DC_TOF_HLTHL
2010,80.1602,CON_USD,DC_TOF_HLTHL
2011,57.64695,CON_USD,DC_TOF_HLTHL
2012,56.90202,CON_USD,DC_TOF_HLTHL
2013,79.24889,CON_USD,DC_TOF_HLTHL
2014,111.28459,CON_USD,DC_TOF_HLTHL
2015,103.98951,CON_USD,DC_TOF_HLTHL
2016,75.73755,CON_USD,DC_TOF_HLTHL
2017,63.83309,CON_USD,DC_TOF_HLTHL
2018,55.41997,CON_USD,DC_TOF_HLTHL
2010,79.98029,CON_USD,DC_TOF_HLTHNT
2011,57.43507,CON_USD,DC_TOF_HLTHNT
2012,56.66883,CON_USD,DC_TOF_HLTHNT
2013,78.8784,CON_USD,DC_TOF_HLTHNT
2014,110.1108,CON_USD,DC_TOF_HLTHNT
2015,103.31307,CON_USD,DC_TOF_HLTHNT
2016,74.33377,CON_USD,DC_TOF_HLTHNT
2017,62.49575,CON_USD,DC_TOF_HLTHNT
2018,53.99728,CON_USD,DC_TOF_HLTHNT
