Year,Value,Units,Series
2000,0.2,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2001,0.19,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2002,0.18,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2003,0.17,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2004,0.16,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2005,0.15,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2006,0.13,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2007,0.11,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2008,0.1,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2009,0.09,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2010,0.08,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2011,0.07,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2012,0.06,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2013,0.05,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2014,0.05,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2015,0.04,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2016,0.04,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2017,0.03,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2018,0.03,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2019,0.03,PER_1000_UNINFECTED_POP,SH_HIV_INCD
