Year,Value,Units,Series
2000,3.1,T,EN_ATM_CO2
2001,3.35,T,EN_ATM_CO2
2002,2.671,T,EN_ATM_CO2
2003,2.905,T,EN_ATM_CO2
2004,2.697,T,EN_ATM_CO2
2005,3.074,T,EN_ATM_CO2
2006,2.501,T,EN_ATM_CO2
2007,2.578,T,EN_ATM_CO2
2008,2.882,T,EN_ATM_CO2
2009,3.425,T,EN_ATM_CO2
2010,4.122,T,EN_ATM_CO2
2011,4.405,T,EN_ATM_CO2
2012,4.972,T,EN_ATM_CO2
2013,4.945,T,EN_ATM_CO2
2014,5.949,T,EN_ATM_CO2
2015,5.694,T,EN_ATM_CO2
2016,8.504,T,EN_ATM_CO2
2017,10.193,T,EN_ATM_CO2
2018,11.187,T,EN_ATM_CO2
2000,0.07151,KG_PER_CON_USD,EN_ATM_CO2GDP
2001,0.07373,KG_PER_CON_USD,EN_ATM_CO2GDP
2002,0.05871,KG_PER_CON_USD,EN_ATM_CO2GDP
2003,0.06143,KG_PER_CON_USD,EN_ATM_CO2GDP
2004,0.05448,KG_PER_CON_USD,EN_ATM_CO2GDP
2005,0.06002,KG_PER_CON_USD,EN_ATM_CO2GDP
2006,0.04724,KG_PER_CON_USD,EN_ATM_CO2GDP
2007,0.04709,KG_PER_CON_USD,EN_ATM_CO2GDP
2008,0.04961,KG_PER_CON_USD,EN_ATM_CO2GDP
2009,0.0564,KG_PER_CON_USD,EN_ATM_CO2GDP
2010,0.06476,KG_PER_CON_USD,EN_ATM_CO2GDP
2011,0.06691,KG_PER_CON_USD,EN_ATM_CO2GDP
2012,0.07208,KG_PER_CON_USD,EN_ATM_CO2GDP
2013,0.06885,KG_PER_CON_USD,EN_ATM_CO2GDP
2014,0.07815,KG_PER_CON_USD,EN_ATM_CO2GDP
2015,0.07239,KG_PER_CON_USD,EN_ATM_CO2GDP
2016,0.10748,KG_PER_CON_USD,EN_ATM_CO2GDP
2017,0.11905,KG_PER_CON_USD,EN_ATM_CO2GDP
2018,0.12244,KG_PER_CON_USD,EN_ATM_CO2GDP
2000,1.247,KG_PER_CON_USD,EN_ATM_CO2MVA
2001,1.368,KG_PER_CON_USD,EN_ATM_CO2MVA
2002,0.726,KG_PER_CON_USD,EN_ATM_CO2MVA
2003,0.88,KG_PER_CON_USD,EN_ATM_CO2MVA
2004,0.737,KG_PER_CON_USD,EN_ATM_CO2MVA
2005,1.111,KG_PER_CON_USD,EN_ATM_CO2MVA
2006,0.659,KG_PER_CON_USD,EN_ATM_CO2MVA
2007,0.841,KG_PER_CON_USD,EN_ATM_CO2MVA
2008,0.788,KG_PER_CON_USD,EN_ATM_CO2MVA
2009,0.801,KG_PER_CON_USD,EN_ATM_CO2MVA
2010,1.259,KG_PER_CON_USD,EN_ATM_CO2MVA
2011,1.427,KG_PER_CON_USD,EN_ATM_CO2MVA
2012,1.649,KG_PER_CON_USD,EN_ATM_CO2MVA
2013,1.236,KG_PER_CON_USD,EN_ATM_CO2MVA
2014,1.679,KG_PER_CON_USD,EN_ATM_CO2MVA
2015,1.921,KG_PER_CON_USD,EN_ATM_CO2MVA
2016,2.6,KG_PER_CON_USD,EN_ATM_CO2MVA
2017,2.722,KG_PER_CON_USD,EN_ATM_CO2MVA
2018,2.661,KG_PER_CON_USD,EN_ATM_CO2MVA
