Year,Series,Reference area,Units,Value
2000,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,6
2001,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,7
2002,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,8
2003,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,10
2004,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,11
2005,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,13
2006,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,15
2007,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,17
2008,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,18
2009,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,20
2010,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,21
2011,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,23
2012,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,24
2013,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,26
2014,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,27
2015,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,28
2016,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,29
2017,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,29
2018,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,30
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Percent,31
