Year,Series,Reference area,Sex,Age,Units,Value
2000,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.2
2001,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.19
2002,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.18
2003,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.17
2004,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.16
2005,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.15
2006,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.13
2007,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.11
2008,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.1
2009,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.09
2010,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.08
2011,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.07
2012,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.06
2013,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.05
2014,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.05
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.04
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.04
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.03
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.03
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,,"Per 1,000 uninfected population",0.03
2000,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.08
2001,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.07
2002,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.07
2003,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.07
2004,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.06
2005,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.06
2006,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.05
2007,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.04
2008,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.04
2009,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.03
2010,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.03
2011,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.02
2012,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.02
2013,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.02
2014,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.02
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.02
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.01
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.01
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.01
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,50 years old and over,"Per 1,000 uninfected population",0.01
